i,Date,Value
0,1990-01-02,2732.51
1,1990-01-03,2786.26
2,1990-01-04,2766.42
3,1990-01-05,2758.11
4,1990-01-08,2753.41
5,1990-01-09,2760.03
6,1990-01-10,2725.47
7,1990-01-11,2748.29
8,1990-01-12,2675.98
9,1990-01-15,2656.36
10,1990-01-16,2634.17
11,1990-01-17,2643.77
12,1990-01-18,2625.85
13,1990-01-19,2657.85
14,1990-01-22,2595.27
15,1990-01-23,2584.01
16,1990-01-24,2534.23
17,1990-01-25,2546.17
18,1990-01-26,2516.89
19,1990-01-29,2522.97
20,1990-01-30,2513.06
21,1990-01-31,2546.85
22,1990-02-01,2571.85
23,1990-02-02,2577.03
24,1990-02-05,2592.12
25,1990-02-06,2588.29
26,1990-02-07,2579.28
27,1990-02-08,2622.3
28,1990-02-09,2628.15
29,1990-02-12,2610.59
30,1990-02-13,2592.57
31,1990-02-14,2608.11
32,1990-02-15,2614.86
33,1990-02-16,2623.65
34,1990-02-20,2579.05
35,1990-02-21,2556.31
36,1990-02-22,2568.02
37,1990-02-23,2540.99
38,1990-02-26,2560.13
39,1990-02-27,2592.12
40,1990-02-28,2603.6
41,1990-03-01,2607.88
42,1990-03-02,2630.18
43,1990-03-05,2636.71
44,1990-03-06,2638.06
45,1990-03-07,2656.08
46,1990-03-08,2661.26
47,1990-03-09,2665.54
48,1990-03-12,2661.94
49,1990-03-13,2657.88
50,1990-03-14,2662.39
51,1990-03-15,2677.93
52,1990-03-16,2699.32
53,1990-03-19,2706.53
54,1990-03-20,2724.1
55,1990-03-21,2718.24
56,1990-03-22,2674.32
57,1990-03-23,2688.06
58,1990-03-26,2697.97
59,1990-03-27,2691.89
60,1990-03-28,2716.21
61,1990-03-29,2711.49
62,1990-03-30,2692.34
63,1990-04-02,2668.69
64,1990-04-03,2699.55
65,1990-04-04,2708.56
66,1990-04-05,2709.01
67,1990-04-06,2695.5
68,1990-04-09,2701.35
69,1990-04-10,2707.88
70,1990-04-11,2713.29
71,1990-04-12,2729.5
72,1990-04-16,2748.87
73,1990-04-17,2738.29
74,1990-04-18,2722.75
75,1990-04-19,2700.0
76,1990-04-20,2668.47
77,1990-04-23,2650.9
78,1990-04-24,2643.69
79,1990-04-25,2649.32
80,1990-04-26,2650.22
81,1990-04-27,2639.19
82,1990-04-30,2627.7
83,1990-05-01,2651.35
84,1990-05-02,2659.01
85,1990-05-03,2682.88
86,1990-05-04,2682.43
87,1990-05-07,2698.87
88,1990-05-08,2710.36
89,1990-05-09,2710.14
90,1990-05-10,2716.44
91,1990-05-11,2743.02
92,1990-05-14,2793.75
93,1990-05-15,2798.15
94,1990-05-16,2800.23
95,1990-05-17,2811.57
96,1990-05-18,2804.63
97,1990-05-21,2802.08
98,1990-05-22,2828.51
99,1990-05-23,2824.95
