Country,Year,Month,Day,Weekday,Name,Type,Date
ES,2016,1,1,Friday,New Year's Day,National holiday,2016-1-1
ES,2016,1,6,Wednesday,Epiphany,National holiday,2016-1-6
ES,2016,2,28,Sunday,Day of Andalucía,Local holiday,2016-2-28
ES,2016,3,1,Tuesday,Day of the Balearic Islands,Local holiday,2016-3-1
ES,2016,3,19,Saturday,San Jose,Common Local holidays,2016-3-19
ES,2016,3,24,Thursday,Maundy Thursday,Common Local holidays,2016-3-24
ES,2016,3,25,Friday,Good Friday,National holiday,2016-3-25
ES,2016,3,28,Monday,Easter Monday,Common Local holidays,2016-3-28
ES,2016,4,23,Saturday,Day of Aragón,Local holiday,2016-4-23
ES,2016,4,23,Saturday,St George's Day,Local holiday,2016-4-23
ES,2016,4,23,Saturday,Castile and León Day,Local holiday,2016-4-23
ES,2016,5,1,Sunday,Labor Day / May Day,National holiday,2016-5-1
ES,2016,5,2,Monday,Labor Day observed,National holiday,2016-5-2
ES,2016,5,3,Tuesday,Day of Madrid,Local holiday,2016-5-3
ES,2016,5,15,Sunday,Feast Day of St Isidore,Local holiday,2016-5-15
ES,2016,5,16,Monday,Whit Monday,Local holiday,2016-5-16
ES,2016,5,17,Tuesday,Galicia Literature Day,Local holiday,2016-5-17
ES,2016,5,26,Thursday,Corpus Christi,Local holiday,2016-5-26
ES,2016,5,30,Monday,Day of the Canary Islands,Local holiday,2016-5-30
ES,2016,5,31,Tuesday,Canaries day observed,Local holiday,2016-5-31
ES,2016,5,31,Tuesday,Day of Castile-La Mancha,Local holiday,2016-5-31
ES,2016,6,9,Thursday,Day of Murcia,Local holiday,2016-6-9
ES,2016,6,9,Thursday,Day of La Rioja,Local holiday,2016-6-9
ES,2016,6,13,Monday,San Antonio,Local holiday,2016-6-13
ES,2016,6,24,Friday,Saint John the Baptist Day,Local holiday,2016-6-24
ES,2016,7,25,Monday,Feast of Saint James the Apostle,Common Local holidays,2016-7-25
ES,2016,7,28,Thursday,Day of the Institutions,Local holiday,2016-7-28
ES,2016,8,5,Friday,The Day of Our Lady of Africa,Local holiday,2016-8-5
ES,2016,8,14,Sunday,The Day of Cantabria,Local holiday,2016-8-14
ES,2016,8,15,Monday,Assumption of Mary,National holiday,2016-8-15
ES,2016,9,2,Friday,Day of the Independent City of Ceuta,Local holiday,2016-9-2
ES,2016,9,8,Thursday,Day of Asturias,Local holiday,2016-9-8
ES,2016,9,8,Thursday,Day of Extremadura,Local holiday,2016-9-8
ES,2016,9,8,Thursday,Virgin of the Victory,Local holiday,2016-9-8
ES,2016,9,11,Sunday,Day of Catalonia,Local holiday,2016-9-11
ES,2016,9,13,Tuesday,Eid-al-Adha,Local holiday,2016-9-13
ES,2016,9,15,Thursday,Nuestra Señora de la Bien Aparecida,Local holiday,2016-9-15
ES,2016,9,17,Saturday,Day of Melilla,Local holiday,2016-9-17
ES,2016,10,9,Sunday,Day of the Valencian Community,Local holiday,2016-10-9
ES,2016,10,12,Wednesday,Hispanic Day,National holiday,2016-10-12
ES,2016,12,3,Saturday,Day of Navarre,Local holiday,2016-12-3
ES,2016,12,6,Tuesday,Constitution Day,National holiday,2016-12-6
ES,2016,12,8,Thursday,Immaculate Conception,National holiday,2016-12-8
ES,2016,12,25,Sunday,Christmas Day,National holiday,2016-12-25
ES,2016,12,26,Monday,Christmas Day observed,Common Local holidays,2016-12-26
ES,2016,12,26,Monday,St Stephen's Day,Local holiday,2016-12-26
ES,2015,1,1,Thursday,New Year's Day,National holiday,2015-1-1
ES,2015,1,6,Tuesday,Epiphany,National holiday,2015-1-6
ES,2015,2,28,Saturday,Day of Andalucía,Local holiday,2015-2-28
