,country,population,region
0,Aruba,103441.0,Latin America & Caribbean
1,Andorra,72786.0,Europe & Central Asia
2,Afghanistan,31627506.0,South Asia
3,Angola,24227524.0,Sub-Saharan Africa
4,Albania,2894475.0,Europe & Central Asia
5,Arab World,385272539.0,
6,United Arab Emirates,9086139.0,Middle East & North Africa
7,Argentina,42980026.0,Latin America & Caribbean
8,Armenia,3006154.0,Europe & Central Asia
9,American Samoa,55434.0,East Asia & Pacific
10,Antigua and Barbuda,90900.0,Latin America & Caribbean
11,Australia,23470118.0,East Asia & Pacific
12,Austria,8545908.0,Europe & Central Asia
13,Azerbaijan,9535079.0,Europe & Central Asia
14,Burundi,10816860.0,Sub-Saharan Africa
15,Belgium,11231213.0,Europe & Central Asia
16,Benin,10598482.0,Sub-Saharan Africa
17,Burkina Faso,17589198.0,Sub-Saharan Africa
18,Bangladesh,159077513.0,South Asia
19,Bulgaria,7223938.0,Europe & Central Asia
20,Bahrain,1361930.0,Middle East & North Africa
21,"Bahamas, The",383054.0,Latin America & Caribbean
22,Bosnia and Herzegovina,3817554.0,Europe & Central Asia
23,Belarus,9470000.0,Europe & Central Asia
24,Belize,351706.0,Latin America & Caribbean
25,Bermuda,65181.0,North America
26,Bolivia,10561887.0,Latin America & Caribbean
27,Brazil,206077898.0,Latin America & Caribbean
28,Barbados,283380.0,Latin America & Caribbean
29,Brunei Darussalam,417394.0,East Asia & Pacific
30,Bhutan,765008.0,South Asia
31,Botswana,2219937.0,Sub-Saharan Africa
32,Central African Republic,4804316.0,Sub-Saharan Africa
33,Canada,35543658.0,North America
34,Central Europe and the Baltics,103488275.0,
35,Switzerland,8188102.0,Europe & Central Asia
36,Channel Islands,162917.0,Europe & Central Asia
37,Chile,17762647.0,Latin America & Caribbean
38,China,1364270000.0,East Asia & Pacific
39,Cameroon,22773014.0,Sub-Saharan Africa
40,"Congo, Rep.",4504962.0,Sub-Saharan Africa
41,Colombia,47791393.0,Latin America & Caribbean
42,Comoros,769991.0,Sub-Saharan Africa
43,Cabo Verde,513906.0,Sub-Saharan Africa
44,Costa Rica,4757606.0,Latin America & Caribbean
45,Caribbean small states,7012857.0,
46,Cuba,11379111.0,Latin America & Caribbean
47,Cayman Islands,59172.0,Latin America & Caribbean
48,Cyprus,1153658.0,Europe & Central Asia
49,Czech Republic,10525347.0,Europe & Central Asia
50,Germany,80970732.0,Europe & Central Asia
51,Djibouti,876174.0,Middle East & North Africa
52,Dominica,72341.0,Latin America & Caribbean
53,Denmark,5638530.0,Europe & Central Asia
54,Dominican Republic,10405943.0,Latin America & Caribbean
55,Algeria,38934334.0,Middle East & North Africa
